id,uuid,date_field,iso_8601_datetime,sparse_int,float
1,5773ad22-d3bc-479a-82d2-07439365883b,2024-01-01,2024-01-01T12:20:00Z,-1000,0.01
2,ff30dc18-b20f-41b0-b660-faa4fc7789a9,1990-12-31,1990-12-31T00:00:00Z,,100.00
3,bf238dac-1f74-4e8d-b81b-4cbbfcb65e5f,2002-02-02,2002-02-02T23:59:59Z,2,23.45
4,5b5b9045-0956-4ba8-ba5d-3793f8c4c54d,1999-09-09,1999-09-09T00:00:00Z,3,56.00
5,6315af41-74d4-481f-bef0-1ea834c80b9c,2010-10-10,2010-10-10T00:00:00Z,,1.00
6,59b31591-3a91-443e-a43a-d52cf9954b0f,2015-05-05,2015-05-05T00:00:00Z,,10.01
7,7c7e8f12-73c7-4acd-8d55-e41dc0e62afe,2019-07-07,2019-07-07T00:00:00Z,,65.55
8,188cb054-4a7f-4ae5-a568-9d72cd7cb9a5,2018-08-08,2018-08-08T01:01:01Z,5,0.00
9,b5084618-76ba-47d7-8d56-7690370105c6,1995-06-06,1995-06-06T00:00:00Z,10,-1.99
10,5c24ab42-356a-47c3-8bcd-03de1e1fae53,1998-04-04,1998-04-04T00:00:00Z,33,-100.0
